actID,Title,StartYear,EndYear,Funding_Entity,Reference,Type,Keywords,objective,projectID
act561920,PROTEUS-6G - Programmable reconfigurable optical Transport for Efficiently offering Unconstrained Services in 6G,2024.0,2026.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101139134,European Research Project,['6g fronthaul; flexible functional split; optical enabled radio systems; programmable optical transceivers; optical; switching; inteligent control; energy efficiency'],"PROTEUS-6G focuses on the development of advanced packet-optical x-haul networking infrastructure, relying on novel software-programmable photonic-integrated-circuit based subsystems operated under an intelligent software management system, capable of simplifying and optimizing network operations and supporting future ultra-high capacity, low-latency and energy-efficient 6G cellular and cell-free MIMO radio access networks.The targeted innovations will enable efficient utilisation of packet and optical resources (spectral subcarriers and spatial lanes), realizing the vision of flexible functional splits (FFSs), adapting the fronthaul, under dynamically customizable operational conditions, to the network demands, for varying distribution of users, traffic demands and use-cases.To implement the 6G optical-enabled radio-access network, the consortium will develop ultra-low energy (low-pJ/bit), ultra-high capacity (0.8 Tb/s) and fast-reconfigurable (sub-ms) software-programmable solutions (i.e. transceivers, multiplexers and fast optical switches integrating tuneable lasers/filters) based on novel photonic processing/switching schemes, to be reconfigured by an intelligent control plane optimizing the utilization of resources across the front-/mid-/back-haul continuum and reducing unnecessary opto-electronic transitions, thus collectively improving performance while minimizing the environmental impact.The PROTEUS-6G consortium covers the entire value-chain of industry/academia organizations focusing on implementing wireless-optical connectivity solutions. The participating experts possess demonstrated expertise re delivering on their promises as indicated by their research track record and exploitation activities towards commercialization of new products and contributions to standards. Their collective development of the targeted innovations is going to reenforce the European leadership in 6G networks thus paving the way for prosperity of Europe’s economy and society.",101139134
act554109,"TOPCSP - Towards Competitive, Reliable, Safe and Sustainable Concentrated Solar Power (CSP) Plants",2022.0,2026.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101072537,European Research Project,"['energy collection, conversion and storage, renewable energy; production technology, process engineering; renewable energy sources']","This training project (TOPCSP) will offer 10 promising doctoral candidates a unique international, intersectoral and interdisciplinary research and innovation framework that will boost their excellence in the development of innovative technologies capable of solving the challenges currently faced by the solar thermal power industry in the EU and worldwide. Concentrating Solar Power (CSP) with Thermal Energy Storage (TES) is a key technology to support the transition to a competitive and sustainable energy system. However, an effort is needed to make this technology competitive by increasing its efficiency, reducing its costs and improving its reliability and environmental profile. TOPCSP project will include research activities aimed at reducing the cost of current CSP plant, increasing the temperature of the heat transfer media of the next generation of CSP plants, developing more efficient power blocks and optimizing the plant design. CSP research requires high-level human resources covering a wide range of competences. TOPCSP will be able to train researchers with the technical knowledge and transferable skills needed to contribute to this aim from either the academic or the industrial sector. The consortium of this proposal will provide balanced scientific and applied skills together with the global vision of the CSP industry that will maximize the employability of the trained researchers. The consortium comprises 8 academic beneficiaries with a long record of research on CSP and two industrial beneficiaries, which are leading companies in the sector. The associated partners of the network include the largest R&D & test centre focused on CSP in Europe, high-tech companies specialized in the different subsystems of the CSP plant, an agency for new technologies, energy and sustainable development, and a training company specialized in R&I project development and management.",101072537
act544650,E.T.PACK: Electrodynamic Tether Technology for Passive Consumable-less Deorbit Kit,2019.0,2022.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,GA-828902,European Research Project,"['electrodynamic tethers, space debris, thermionic materials, coating technologies; electric propulsion']","The Low Work-function Tether (LWT) is a long conductive tape coated with a material that enhances thermionic and photoelectric electron emissions. It enables spacecraft to de-orbit and/or re-boost without the need for consumables. It interacts passively with its environment (ambient plasma, magnetic field and solar radiation) to exchange momentum with the planet’s magnetosphere. E.T.PACK aims at developing a proof of concept for LWTs by breaking through and combining the current frontier of knowledge in three fields: plasma physics, low work function material science and space tethers. These will be integrated into a deorbit kit and a flight simulator for mission analysis. The kit aims to reach Technology Readiness Level 4 and will have two modes of operation: as a fully passive LWT and as a conventional electrodynamic tether equipped with an active hollow-cathode (backup mode). A new coating process for the electride, C12A7 ([Ca24Al28O64]4+(4e-)), will be developed, and used to manufacture a LWT demonstrator. The C12A7 and its extraordinary properties will be also applied to the hollow cathode of the kit, which will include a novel deployment mechanism specifically designed for LWT applications. The complex current exchange of LWTs with the ambient plasma under space-charge-conditions will be studied theoretically, and used to develop accurate simulators. The theory-experiment comparisons will lead to a solid framework for LWT operation and constraints, including thermal, mechanical, optical, electrical, ATOX and UV resistance, and survivability. Hitherto impossible mission scenarios will be explored, thus opening up new horizons in space science and technology. These interdisciplinary activities, placed at the cutting edge of their fields and highly interdependent, make E.T.PACK a high-risk project. This is fully compensated by its potential impact: Europe being the first with access to a reversible in-space propulsion technology free of consumables.",828902
act544734,ASPIRE: Advanced Space Propulsion for Innovative Realization of space Exploration,2021.0,2024.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101004366,European Research Project,['het; monolithical approach; cluster approach; 20 kw; high thrust; high isp; direct drive architecture'],"The recent developments in high-power Hall thruster systems, thanks to the optimal combination of performance and reliability, are enabling a wide set of mission scenarios. These technological advantages, coupled with the increasing availability of power onboard satellite platforms, are encouraging several spacecraft manufacturers to focus on the implementation of high-power Hall thruster systems. The most promising scenarios envisage the introduction of a new class of service platforms characterized by versatility and a high level of reusability, the so-called Space Tug. Other applications, nowadays of particular interest, are the active debris removal to mitigate the possible collision risks. Besides, several exploration and scientific missions, such as Mars Sample Return, contemplate high power electric propulsion as the main propulsion system.Despite these potential advantages, several factors have limited the possibility of reaching qualified status for these systems, such as huge costs and availability of test facility. ASPIRE aims to increase the TRL of 20kW Hall Thruster system up to 6 by exploiting results obtained within CHEOPS. The project will cover many aspects, from mission scenarios analysis and satellite architecture consolidation to thruster unit TRL raise to 7 and enabling reduced-cost qualification. To keep operational and development costs as low as possible, krypton is maintained as baseline propellant.The ASPIRE project also aims at augmenting the numerical modelling capability necessary for qualification of high-power EP systems, which lacks in Europe. The numerical models, developed and refined by three academic partners in the frame of this project, will be validated with the data gathered in more than 1000 hours of firing with Kr. Artificial intelligence is used to develop a novel simulation-aided qualification strategy, representing an exclusive European asset for the foreseen qualification and flight in the 2020-2030 decade.",101004366
act544376,"SCience, Innovation, FIrms and markets in a GLObalized World",2008.0,2012.0,COMISION EUROPEA RESEARCH DIRECTORATE-GENERAL,SSH-CT-2008-217436,European Research Project,,"In 2000, EU leaders committed to the objective of making Europe ‘the most dynamic and competitive knowledge-based economy in the world, capable of sustainable economic growth, with more and better jobs, greater social cohesion and respect for the environment.’ They drew up the ‘Lisbon agenda’ to achieve this goal by 2010. The central strategy was based on policies to encourage investment in knowledge. Knowledge as a public good with potential spillovers is the rationale behind intellectual property protection and subsidies for investments in innovations that will potentially lead to high spillovers. University research that creates basic knowledge is a leading example of this. But research shows that spillovers are also generated from private firms’ R&D and that firms can therefore benefit from the presence of more innovative and more productive firms. But which universities and which firms are more innovative? And how does globalization influence the answer to these questions? Finally, how can policy influence the innovation process? This project aims at answering these questions, without forgetting their implications in terms of income inequality and volatility, which impacts on the political sustainability of the innovation dynamics.To do this, the first part of the project will focus more specifically on the knowledge sector itself. This second part of the project will look at the ‘bigger picture’, looking at the overall organization of firms in the global knowledge economy, as well as its implications on markets and inequality. The third part will contain a summary and policy recommendations: while the project brings together researchers at the frontier of academic knowledge on these topics, its outcomes will be highly policy-relevant. We plan to end the project with a summary and set of policy conclusions on research and innovation in the global knowledge economy.",217436
act540033,HANDLE: Developmental pathway towards autonomy and dexterity in robot in-hand manipulation,2011.0,2012.0,MINISTERIO DE CIENCIA E INNOVACION,DPI2010-08863-E,Complementary National Fundings for Research Activities,,"The field of robotics is undergoing a major revolution as it is increasingly being applied to general purposes outside the production line: for health, rehabilitation and professional services, in domestic and leisure environments, as well as hazardous environments. There, one keystone for robots to carry out accurate and intelligent tasks, with and for people, is their ability both to handle autonomously all sorts of objects and to use human tools. However, today's robots are unable to achieve dexterous and fine manipulation, especially when this requires in-hand manipulation. They are far from being able to understand and reason about their environments, their goals and their own capabilities, to learn skills and improve their performance by what they have been taught and their own experience, to interact with their environments with the efficiency of humans.The HANDLE project aims at understanding how humans perform the manipulation of objects in order to replicate grasping and skilled in-hand movements with an anthropomorphic artificial hand, and thereby move robot grippers from current best practice towards more autonomous, natural and effective articulated hands. The project implies not only focusing on technological developments but also working with fundamental multidisciplinary research aspects in order to endow the robotic hand system with advanced perception capabilities, high level feedback control and elements of intelligence that allow recognition of objects and context, reasoning about actions and a high degree of recovery from failure during the execution of dexterous tasks.Integrating findings from disciplines such as neuroscience, developmental psychology, cognitive science, robotics, multimodal perception and machine learning, the method we will develop is based on an original blend of learning and predicting behaviours from imitation and ""babbling"" to allow the robot to be capable of responding to gaps in its knowledge.",231640
act556303,i-STENTORE - innovative Energy Storage TEchnologies TOwards increased Renewables integration and Efficient Operation,2023.0,2025.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101096787,European Research Project,['electrical engineering; electronic engineering; information engineering'],"i-STENTORE will examine the integration of diverse storage solutions and their combinations. Innovative storage systems will be showcased and their co-operation with the integrated assets will be co-optimized, placing the reliability, the power quality, the cost-efficient operation and the maximization of the assets’ lifetime as end-goals. i-STENTORE will introduce an umbrella framework aiming to showcase stand-alone and hybrid storage solutions highlighting the multi-purpose use of storage, not only as an energy buffer, but also as an active grid component capable of providing services and contributing to grid resilience, stability and efficient operation. The proposed framework will examine the applicability of versatile storage solutions in various applications covering the mobility, agricultural, industry, household, heating and other sectors, and in different timeframes, creating what-if scenarios for the selection of the optimal storage solutions to serve each individual application in the most effective way, promoting purpose-specific Hybrid Energy Storage Systems (HESS). To achieve this and to ensure a seamless integration in a technology-agnostic and interoperable manner, i-STENTORE will design a Reference Architecture towards an open and flexible storage-enabling European energy system leveraging storage-induced flexibility and facilitating the increased integration of renewable energy sources (RES). i-STENTORE will embrace the introduction of novel business models, towards building positive and attractive business cases for storage, identifying new revenue streams for storage operators and promoting storage systems as a facilitator of the energy transition. This approach will develop and validate the enhanced connectivity of multiple systems at different levels of the energy value chain, incorporating both front-of-the-meter and behind-the-meter solutions, targeting the essential empowerment of new actors and the strategic shift of the role of storage.",101096787
act544688,Terahertz technology for ultra-broadband and ultra-wideband operation of backhaul and fronthaul links in systems with SDN management of network and radio resources.,2019.0,2023.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,GA-871668,European Research Project,['radio frequency; microwave communications; communication engineering and systems telecommunications; network infrastructures; terahertz communications; w-band; d-band; ultra-wideband operation; multi-beam optical beamforming; inmanned aerial vehicles'],"TERAWAY will develop a disruptive generation of THz transceivers that can overcome the current limitations of THz technology and enable its commercial uptake. Leveraging optical concepts and photonic integration techniques, TERAWAY will develop a common technology base for the generation, emission and detection of wireless signals within an ultra-wide range of carrier frequencies that will cover the W (92-114.5 GHz), D (130-174.8 GHz) and THz band (252-322 GHz). In this way, the project will provide for the first time the possibility to organize the spectral resources of a network within these bands into a common pool of radio resources that can be flexibly coordinated and used. In parallel, the use of photonics will enable the development of multi-channel transceivers with amplification of the wireless signals in the optical domain and with multi-beam optical beamforming in order to have a radical increase in the directivity of each wireless beam. At the end of this development, TERAWAY will make available a set of truly disruptive transceivers including a 2- and a 4-channel module with operation from 92 up to 322 GHz, data rate per channel up to 108 Gb/s, transmission reach in the THz band of more than 400 m, and possibility for the formation of wireless beams that can be independently steered in order to establish backhaul and fronthaul connections between a set of fixed and moving nodes. TERAWAY will evaluate these transceivers under an application scenario of communication and surveillance coverage of outdoor mega-events using moving nodes in the form of drones that will carry a gNB or the radio part of it. The network during the implementation of this scenario in the 5G testbed of AALTO will be controlled by an innovative SDN controller that will perform the management of the network and radio resources in a homogeneous way with large benefits for the network performance, energy efficiency, slicing efficiency and possibility to support heterogeneous services.",871668
act561880,ODE4HERA - Open Digital Environment for Hybrid-Electric Regional Architecture,2024.0,2026.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,101140510,European Research Project,['hybrid-electric regional; mbse; mdo; iv&v plm; sdm; open platform'],"The objective of the Open Digital Environment for Hybrid-Electric Regional Architectures (ODE4HERA) project is to enable and accelerate the development of Hybrid-Electric Regional (HER) aircraft thanks to improved tools and techniques implemented in a transferable and Open Digital Platform (ODP).HER configurations imply far higher complexity than conventional configurations while involving new aircraft technologies and broader collaboration across the value/supply chain. State-of-the-art digitalization techniques limitations put at risk the achievement of the 2035 HER Entry-Into-Service (EIS) target. To address these challenges, the ODP developed in ODE4HERA will combine MBSE, MDO, SDM and PLM technologies and extend them with novel open interfaces, formats, smart model and data transformation technologies efficiently handling and processing HER configurations complexity, including frontload verification at design stage and virtualize validation for improved virtual certification.",101140510
act546667,5GINFIRE: Evolving FIRE into a 5G-Oriented Experimental Playground for Vertical industries,2017.0,2019.0,EUROPEAN COMMISSION RESEARCH EXECUTIVE AGENCY,GA-732497-5GINFIRE,European Research Project,,"Key industrial sectors e.g. automotive, are rapidly transformed by digital and communication technologies leading to the fourth industrial revolution. New ones are in the making, e.g. Smart Cities, which inspire a new breed of applications and services. The salient characteristic of these sectors, known as verticals, is that they are rapidly becoming open ecosystems built on top of common physical infrastructures and resources. This requires a high degree of technological convergence among vertical industries empowering them with enhanced technical capacity to trigger the development of new, innovative products, applications and services.5G network infrastructures and embodied technologies are destined to “become a stakeholder driven, holistic environment for technical and business innovation integrating networking, computing and storage resources into one programmable and unified infrastructure”. It is this 5G vision that when it is further projected to accommodate verticals raises a number of technical issues Motivated by them, 5GinFIRE project aspires to address two interlinked questions:- Q1: How such a holistic and unified environment should look like?- Q2: How can 5GinFIRE host and integrate verticals and concurrently deal with reconciling their competing and opposing requirements?Addressing these key questions, 5GinFIRE main technical objective is to build and operate an Open, and Extensible 5G NFV-based Reference (Open5G-NFV) ecosystem of Experimental Facilities that integrates existing FIRE facilities with new vertical-specific ones and enables experimentation of vertical industries.In order to guarantee architectural and technological convergence the proposed environment will be built in alignment with on-going standardization and open source activities. Accordingly, the Open5G-NFV FIRE ecosystem may serve as the forerunner experimental playground wherein innovations may be proposed before they are ported to emerging “mainstream” 5G networks.",732497
