actID,tituloNormalizado_CORDIS,tituloNormalizado_RP,Reference,projectID,num_palabras_titulo_CORDIS,num_palabras_titulo_RP,objective_x,objective_y
act556303,innovative energy storage technologies towards increased renewables integration and efficient operation,istentore  innovative energy storage technologies towards increased renewables integration and efficient operation,101096787,101096787,11,12,"i-STENTORE will examine the integration of diverse storage solutions and their combinations. Innovative storage systems will be showcased and their co-operation with the integrated assets will be co-optimized, placing the reliability, the power quality, the cost-efficient operation and the maximization of the assets’ lifetime as end-goals. i-STENTORE will introduce an umbrella framework aiming to showcase stand-alone and hybrid storage solutions highlighting the multi-purpose use of storage, not only as an energy buffer, but also as an active grid component capable of providing services and contributing to grid resilience, stability and efficient operation. The proposed framework will examine the applicability of versatile storage solutions in various applications covering the mobility, agricultural, industry, household, heating and other sectors, and in different timeframes, creating what-if scenarios for the selection of the optimal storage solutions to serve each individual application in the most effective way, promoting purpose-specific Hybrid Energy Storage Systems (HESS). To achieve this and to ensure a seamless integration in a technology-agnostic and interoperable manner, i-STENTORE will design a Reference Architecture towards an open and flexible storage-enabling European energy system leveraging storage-induced flexibility and facilitating the increased integration of renewable energy sources (RES). i-STENTORE will embrace the introduction of novel business models, towards building positive and attractive business cases for storage, identifying new revenue streams for storage operators and promoting storage systems as a facilitator of the energy transition. This approach will develop and validate the enhanced connectivity of multiple systems at different levels of the energy value chain, incorporating both front-of-the-meter and behind-the-meter solutions, targeting the essential empowerment of new actors and the strategic shift of the role of storage.","i-STENTORE will examine the integration of diverse storage solutions and their combinations. Innovative storage systems will be showcased and their co-operation with the integrated assets will be co-optimized, placing the reliability, the power quality, the cost-efficient operation and the maximization of the assets’ lifetime as end-goals. i-STENTORE will introduce an umbrella framework aiming to showcase stand-alone and hybrid storage solutions highlighting the multi-purpose use of storage, not only as an energy buffer, but also as an active grid component capable of providing services and contributing to grid resilience, stability and efficient operation. The proposed framework will examine the applicability of versatile storage solutions in various applications covering the mobility, agricultural, industry, household, heating and other sectors, and in different timeframes, creating what-if scenarios for the selection of the optimal storage solutions to serve each individual application in the most effective way, promoting purpose-specific Hybrid Energy Storage Systems (HESS). To achieve this and to ensure a seamless integration in a technology-agnostic and interoperable manner, i-STENTORE will design a Reference Architecture towards an open and flexible storage-enabling European energy system leveraging storage-induced flexibility and facilitating the increased integration of renewable energy sources (RES). i-STENTORE will embrace the introduction of novel business models, towards building positive and attractive business cases for storage, identifying new revenue streams for storage operators and promoting storage systems as a facilitator of the energy transition. This approach will develop and validate the enhanced connectivity of multiple systems at different levels of the energy value chain, incorporating both front-of-the-meter and behind-the-meter solutions, targeting the essential empowerment of new actors and the strategic shift of the role of storage."
act544688,terahertz technology for ultrabroadband and ultrawideband operation of backhaul and fronthaul links in systems with sdn management of network and radio resources,terahertz technology for ultrabroadband and ultrawideband operation of backhaul and fronthaul links in systems with sdn management of network and radio resources,GA-871668,871668,22,22,"TERAWAY will develop a disruptive generation of THz transceivers that can overcome the current limitations of THz technology and enable its commercial uptake. Leveraging optical concepts and photonic integration techniques, TERAWAY will develop a common technology base for the generation, emission and detection of wireless signals within an ultra-wide range of carrier frequencies that will cover the W (92-114.5 GHz), D (130-174.8 GHz) and THz band (252-322 GHz). In this way, the project will provide for the first time the possibility to organize the spectral resources of a network within these bands into a common pool of radio resources that can be flexibly coordinated and used. In parallel, the use of photonics will enable the development of multi-channel transceivers with amplification of the wireless signals in the optical domain and with multi-beam optical beamforming in order to have a radical increase in the directivity of each wireless beam. At the end of this development, TERAWAY will make available a set of truly disruptive transceivers including a 2- and a 4-channel module with operation from 92 up to 322 GHz, data rate per channel up to 108 Gb/s, transmission reach in the THz band of more than 400 m, and possibility for the formation of wireless beams that can be independently steered in order to establish backhaul and fronthaul connections between a set of fixed and moving nodes. TERAWAY will evaluate these transceivers under an application scenario of communication and surveillance coverage of outdoor mega-events using moving nodes in the form of drones that will carry a gNB or the radio part of it. The network during the implementation of this scenario in the 5G testbed of AALTO will be controlled by an innovative SDN controller that will perform the management of the network and radio resources in a homogeneous way with large benefits for the network performance, energy efficiency, slicing efficiency and possibility to support heterogeneous services.","TERAWAY will develop a disruptive generation of THz transceivers that can overcome the current limitations of THz technology and enable its commercial uptake. Leveraging optical concepts and photonic integration techniques, TERAWAY will develop a common technology base for the generation, emission and detection of wireless signals within an ultra-wide range of carrier frequencies that will cover the W (92-114.5 GHz), D (130-174.8 GHz) and THz band (252-322 GHz). In this way, the project will provide for the first time the possibility to organize the spectral resources of a network within these bands into a common pool of radio resources that can be flexibly coordinated and used. In parallel, the use of photonics will enable the development of multi-channel transceivers with amplification of the wireless signals in the optical domain and with multi-beam optical beamforming in order to have a radical increase in the directivity of each wireless beam. At the end of this development, TERAWAY will make available a set of truly disruptive transceivers including a 2- and a 4-channel module with operation from 92 up to 322 GHz, data rate per channel up to 108 Gb/s, transmission reach in the THz band of more than 400 m, and possibility for the formation of wireless beams that can be independently steered in order to establish backhaul and fronthaul connections between a set of fixed and moving nodes. TERAWAY will evaluate these transceivers under an application scenario of communication and surveillance coverage of outdoor mega-events using moving nodes in the form of drones that will carry a gNB or the radio part of it. The network during the implementation of this scenario in the 5G testbed of AALTO will be controlled by an innovative SDN controller that will perform the management of the network and radio resources in a homogeneous way with large benefits for the network performance, energy efficiency, slicing efficiency and possibility to support heterogeneous services."
act561880,hybridelectric regional architecture,ode4hera  open digital environment for hybridelectric regional architecture,101140510,101102007,3,8,"HERA will identify and trade-off the concept of a regional aircraft, its key architectures, develop required aircraft-level technologies and integrate the required enablers in order to meet the -50% technology-based GHG emission set in SRIA for a Hybrid-Electric Regional Aircraft.The HERA aircraft, having a size of approximately of 50-100 seats, will operate in the regional and short-range air mobility by mid-2030 on typical distances of less than 500 km (inter-urban regional connections). The aircraft will be ready for future inter-modal and multi-modal mobility frameworks for sustainability.The HERA aircraft will include hybrid-electric propulsion based on batteries or fuel cells as energy sources supported by SAF or hydrogen burning for the thermal source, to reach up to 90% lower emissions while being fully compliant with ICAO noise rules. The HERA aircraft will be ready for entry into service by mid-2030, pursuing to the new certification rules, able to interact with new ground infrastructure, supporting new energy sources. This will make HERA aircraft ready for actual revenue service offering to operators and passengers sustainable, safe and fast connectivity mean at low GHG emissionsHERA will quantitatively trade innovative aircraft architectures and configurations required to integrate several disruptive enabling technologies including high voltage MW scale electrical distribution, thermal management, new wing and fuselage as well as the new hybrid-electric propulsion and related new energy storage at low GHG. To support this unprecedented integration challenge, HERA will develop suitable processes, tools and simulation models supporting the new interactions, workshare in the value chain and interfaces among systems and components. HERA will also elaborate on the future demonstration strategy of a hybrid–electric regional aircraft in Phase 2 of Clean Aviation to support the high TRL demonstration required for an early impact for HERA solutions.","HERA will identify and trade-off the concept of a regional aircraft, its key architectures, develop required aircraft-level technologies and integrate the required enablers in order to meet the -50% technology-based GHG emission set in SRIA for a Hybrid-Electric Regional Aircraft.The HERA aircraft, having a size of approximately of 50-100 seats, will operate in the regional and short-range air mobility by mid-2030 on typical distances of less than 500 km (inter-urban regional connections). The aircraft will be ready for future inter-modal and multi-modal mobility frameworks for sustainability.The HERA aircraft will include hybrid-electric propulsion based on batteries or fuel cells as energy sources supported by SAF or hydrogen burning for the thermal source, to reach up to 90% lower emissions while being fully compliant with ICAO noise rules. The HERA aircraft will be ready for entry into service by mid-2030, pursuing to the new certification rules, able to interact with new ground infrastructure, supporting new energy sources. This will make HERA aircraft ready for actual revenue service offering to operators and passengers sustainable, safe and fast connectivity mean at low GHG emissionsHERA will quantitatively trade innovative aircraft architectures and configurations required to integrate several disruptive enabling technologies including high voltage MW scale electrical distribution, thermal management, new wing and fuselage as well as the new hybrid-electric propulsion and related new energy storage at low GHG. To support this unprecedented integration challenge, HERA will develop suitable processes, tools and simulation models supporting the new interactions, workshare in the value chain and interfaces among systems and components. HERA will also elaborate on the future demonstration strategy of a hybrid–electric regional aircraft in Phase 2 of Clean Aviation to support the high TRL demonstration required for an early impact for HERA solutions."
act546667,evolving fire into a 5goriented experimental playground for vertical industries,5ginfire evolving fire into a 5goriented experimental playground for vertical industries,GA-732497-5GINFIRE,732497,10,11,"Key industrial sectors e.g. automotive, are rapidly transformed by digital and communication technologies leading to the fourth industrial revolution. New ones are in the making, e.g. Smart Cities, which inspire a new breed of applications and services. The salient characteristic of these sectors, known as verticals, is that they are rapidly becoming open ecosystems built on top of common physical infrastructures and resources. This requires a high degree of technological convergence among vertical industries empowering them with enhanced technical capacity to trigger the development of new, innovative products, applications and services.5G network infrastructures and embodied technologies are destined to “become a stakeholder driven, holistic environment for technical and business innovation integrating networking, computing and storage resources into one programmable and unified infrastructure”. It is this 5G vision that when it is further projected to accommodate verticals raises a number of technical issues Motivated by them, 5GinFIRE project aspires to address two interlinked questions:- Q1: How such a holistic and unified environment should look like?- Q2: How can 5GinFIRE host and integrate verticals and concurrently deal with reconciling their competing and opposing requirements?Addressing these key questions, 5GinFIRE main technical objective is to build and operate an Open, and Extensible 5G NFV-based Reference (Open5G-NFV) ecosystem of Experimental Facilities that integrates existing FIRE facilities with new vertical-specific ones and enables experimentation of vertical industries.In order to guarantee architectural and technological convergence the proposed environment will be built in alignment with on-going standardization and open source activities. Accordingly, the Open5G-NFV FIRE ecosystem may serve as the forerunner experimental playground wherein innovations may be proposed before they are ported to emerging “mainstream” 5G networks.","Key industrial sectors e.g. automotive, are rapidly transformed by digital and communication technologies leading to the fourth industrial revolution. New ones are in the making, e.g. Smart Cities, which inspire a new breed of applications and services. The salient characteristic of these sectors, known as verticals, is that they are rapidly becoming open ecosystems built on top of common physical infrastructures and resources. This requires a high degree of technological convergence among vertical industries empowering them with enhanced technical capacity to trigger the development of new, innovative products, applications and services.5G network infrastructures and embodied technologies are destined to “become a stakeholder driven, holistic environment for technical and business innovation integrating networking, computing and storage resources into one programmable and unified infrastructure”. It is this 5G vision that when it is further projected to accommodate verticals raises a number of technical issues Motivated by them, 5GinFIRE project aspires to address two interlinked questions:- Q1: How such a holistic and unified environment should look like?- Q2: How can 5GinFIRE host and integrate verticals and concurrently deal with reconciling their competing and opposing requirements?Addressing these key questions, 5GinFIRE main technical objective is to build and operate an Open, and Extensible 5G NFV-based Reference (Open5G-NFV) ecosystem of Experimental Facilities that integrates existing FIRE facilities with new vertical-specific ones and enables experimentation of vertical industries.In order to guarantee architectural and technological convergence the proposed environment will be built in alignment with on-going standardization and open source activities. Accordingly, the Open5G-NFV FIRE ecosystem may serve as the forerunner experimental playground wherein innovations may be proposed before they are ported to emerging “mainstream” 5G networks."
act544719,flying air traffic management for the benefit of environment and climate,flyatm4e flying air traffic management for the benefit of environment and climate,GA-891317,891317,11,12,"The main objective of the FlyATM4E project is to expand approved climate-assessment methods and optimization of aircraft trajectories in order to identify promising mitigation options suitable to solve the task of reducing overall climate impact of aircraft operations. The project will assess the feasibility of a concept for environmental assessment of ATM operations working towards environmental optimisation of air traffic operations.FlyATM4E will develop a concept to identify climate-optimised aircraft trajectories which enable a robust and eco-efficient reduction in aviation’s climate impact. Climate optimization will take into account CO2 and non-CO2 effects, such as contrails and contrail-cirrus, water vapour, NOx and particulate emissions. FlyATM4E will identify those weather situations and aircraft trajectories, which lead to a robust climate impact reduction despite uncertainties in atmospheric science that can be characterised by ensemble probabilistic forecasts. This will improve the assessment of aviation’s climate impact. It will further identify those situations where there is a large potential to reduce the climate impact with only little or even no cost changes (“Cherry-Picking”) and those situations where both, climate impact and costs can be reduced (“Win-Win”). As a synthesis, FlyATM4E will formulate recommendations how to implement these strategies in meteorological (MET) products and enable not only the understanding of ATM possibilities to reduce aviation’s climate impact, but moreover how to implement such eco-efficient routing. To this end, the FlyATM4E consortium builds on its expertise covering the whole spectrum from atmospheric science and climate research to aviation operations research and aircraft trajectory optimisation.","The main objective of the FlyATM4E project is to expand approved climate-assessment methods and optimization of aircraft trajectories in order to identify promising mitigation options suitable to solve the task of reducing overall climate impact of aircraft operations. The project will assess the feasibility of a concept for environmental assessment of ATM operations working towards environmental optimisation of air traffic operations.FlyATM4E will develop a concept to identify climate-optimised aircraft trajectories which enable a robust and eco-efficient reduction in aviation’s climate impact. Climate optimization will take into account CO2 and non-CO2 effects, such as contrails and contrail-cirrus, water vapour, NOx and particulate emissions. FlyATM4E will identify those weather situations and aircraft trajectories, which lead to a robust climate impact reduction despite uncertainties in atmospheric science that can be characterised by ensemble probabilistic forecasts. This will improve the assessment of aviation’s climate impact. It will further identify those situations where there is a large potential to reduce the climate impact with only little or even no cost changes (“Cherry-Picking”) and those situations where both, climate impact and costs can be reduced (“Win-Win”). As a synthesis, FlyATM4E will formulate recommendations how to implement these strategies in meteorological (MET) products and enable not only the understanding of ATM possibilities to reduce aviation’s climate impact, but moreover how to implement such eco-efficient routing. To this end, the FlyATM4E consortium builds on its expertise covering the whole spectrum from atmospheric science and climate research to aviation operations research and aircraft trajectory optimisation."
act544426,towards real energyefficient network design,trend towards real energyefficient network design,FP7-ICT-2009-5; FP7-ICT-2009-5: 257740,257740,5,6,"European research cannot ignore key questions on energy consumption of communication networks, like: ""Is the current growth of energy consumption in telecom infrastructures sustainable?""; ""Can we generate and transport enough electricity to provide 100 Mb/s access to all in metropolitan areas?""; ""Are optical technologies more energy-friendly than electronics?""; ""Is the Internet protocol suite needlessly wasting energy?""The TREND NoE aims at integrating the activities of major European players to quantitatively asses the energy demand of current and future telecom infrastructures, and to design energy-efficient, scalable and sustainable future networks, considering both the backbone, and the wireless and wired access segments.Multi-lateral research activities in TREND will take a holistic approach to energy-efficient networking, by:\tcollecting data to assess the power consumption of terminals, devices and infrastructures, to quantify the current energy needs and their expected evolution and scaling laws;\tidentifying energy-friendly technologies, devices, protocols and architectures, and evaluating how they can be introduced in operational networks;\tdefining new energy-aware network design criteria, balancing the attention to optimal performance and resource allocation with the minimization of energy requirements;\texperimentally proving the effectiveness of the proposed approaches.The TREND consortium comprises equipment manufacturers, network operators, and university research centers with complementary expertise, and with strong previous involvements and worldwide reputation in matters related to energy consumption in networking. Their synergistic work and dissemination activities in TREND will raise the consciousness on the environmental impact of network infrastructures, and will provide guidelines for an energy-aware evolution of the Internet, thereby reinforcing the leading European position in designing a sustainable future.","European research cannot ignore key questions on energy consumption of communication networks, like: ""Is the current growth of energy consumption in telecom infrastructures sustainable?""; ""Can we generate and transport enough electricity to provide 100 Mb/s access to all in metropolitan areas?""; ""Are optical technologies more energy-friendly than electronics?""; ""Is the Internet protocol suite needlessly wasting energy?""The TREND NoE aims at integrating the activities of major European players to quantitatively asses the energy demand of current and future telecom infrastructures, and to design energy-efficient, scalable and sustainable future networks, considering both the backbone, and the wireless and wired access segments.Multi-lateral research activities in TREND will take a holistic approach to energy-efficient networking, by:\tcollecting data to assess the power consumption of terminals, devices and infrastructures, to quantify the current energy needs and their expected evolution and scaling laws;\tidentifying energy-friendly technologies, devices, protocols and architectures, and evaluating how they can be introduced in operational networks;\tdefining new energy-aware network design criteria, balancing the attention to optimal performance and resource allocation with the minimization of energy requirements;\texperimentally proving the effectiveness of the proposed approaches.The TREND consortium comprises equipment manufacturers, network operators, and university research centers with complementary expertise, and with strong previous involvements and worldwide reputation in matters related to energy consumption in networking. Their synergistic work and dissemination activities in TREND will raise the consciousness on the environmental impact of network infrastructures, and will provide guidelines for an energy-aware evolution of the Internet, thereby reinforcing the leading European position in designing a sustainable future."
act560414,human  centric indoor climate for healthcare facilities,humanic human  centric indoor climate for healthcare facilities conv msca2022dn0101,101119726,101119726,7,10,"Over 4 million hospital patients acquire a healthcare-associated infection (HAI) in the EU each year. Moreover, the global crisis of antimicrobial resistance means that HAI is posing an increasing cost and risk of mortality. There is clear evidence that airflow controls the dispersion and exposure to airborne pathogens and determines the contamination of critical surfaces in the human-centric climate (HCC), which is defined as the microenvironment which surrounds and is close to a human body. This points to a significant need for innovation in healthcare indoor environments to tackle the challenge of infectioncontrol, while improving thermal comfort and energy efficiency in hospitals. To achieve this, we must both advance the fundamental understanding of how people are exposed to airborne pathogens and develop new tools and techniques to enable effective design and operation of healthcare environments. Specifically, there is a need to understand better the local influence of airflows on particles in HCC; quantify the transient behaviour of airflows and contaminants due to healthcare activities like surgery; develop methods for optimising and adapting ventilation systems to control for risks in different environments like operation rooms and isolation rooms; and develop tools to enable real-time interaction with environments during design and operational phases. Bringing together 8 leading academic teams, 4 healthcare facilities and 8 HVAC industry partners, the HumanIC network aims to build a new approach to hospital environmental design through the concept of HCC and the training of 15 Early Career Stage Researchers to address these needs. HumanIC will create and disseminate fundamental and applied science to improve the knowledge base and innovate new technologies for designing and operating hospital ventilation and thermal systems and for reducing infection risk by at least 30%, meanwhile satisfying requirements of thermal comfort, safety and energy.","Over 4 million hospital patients acquire a healthcare-associated infection (HAI) in the EU each year. Moreover, the global crisis of antimicrobial resistance means that HAI is posing an increasing cost and risk of mortality. There is clear evidence that airflow controls the dispersion and exposure to airborne pathogens and determines the contamination of critical surfaces in the human-centric climate (HCC), which is defined as the microenvironment which surrounds and is close to a human body. This points to a significant need for innovation in healthcare indoor environments to tackle the challenge of infectioncontrol, while improving thermal comfort and energy efficiency in hospitals. To achieve this, we must both advance the fundamental understanding of how people are exposed to airborne pathogens and develop new tools and techniques to enable effective design and operation of healthcare environments. Specifically, there is a need to understand better the local influence of airflows on particles in HCC; quantify the transient behaviour of airflows and contaminants due to healthcare activities like surgery; develop methods for optimising and adapting ventilation systems to control for risks in different environments like operation rooms and isolation rooms; and develop tools to enable real-time interaction with environments during design and operational phases. Bringing together 8 leading academic teams, 4 healthcare facilities and 8 HVAC industry partners, the HumanIC network aims to build a new approach to hospital environmental design through the concept of HCC and the training of 15 Early Career Stage Researchers to address these needs. HumanIC will create and disseminate fundamental and applied science to improve the knowledge base and innovate new technologies for designing and operating hospital ventilation and thermal systems and for reducing infection risk by at least 30%, meanwhile satisfying requirements of thermal comfort, safety and energy."
act555366,a holistic flagship towards the 6g network platform and system to inspire digital transformation for the world to act together in meeting needs in society and ecosystems with novel 6g services,hexaxii a holistic flagship towards the 6g network platform and system to inspire digital transformation for the world to act together in meeting needs in society and ecosystems with novel 6g services,101095759,101095759,31,32,"To deliver on our European 6G vision for the 2030s, and to tackle opportunities and challenges of increasing magnitude, e.g., sustainability, trustworthiness, green deal efficiency, digital inclusion, there is need for a flagship project, towards the elaboration of a holistic 6G network platform and system. To fill this need, Hexa-X-II is proposed with the ambition of being this flagship project, and of inspiring the world for digital transformation through novel 6G services. Hexa-X-II will work, beyond enabler-oriented research, to optimized systemization, early validation, and proof-of-concept; work will progress from the 6G key enablers that connect the human, physical, and digital worlds, as explored in Hexa-X, to advanced technology readiness levels, including key aspects of modules / protocols / interfaces / data.Hexa-X II includes: (a) the provision of advanced / refined use cases, services, and requirements, ensuring value for society; (b) the delivery of the 6G platform blueprint, which will encompass enhanced connectivity for 6G services, mechanisms realizing the “networks beyond communications” vision (sensing, computing, trustworthy AI), efficient network management schemes; (c) the realization of extended validation at system and component level; (d) actions for global impact, while assuring strategic autonomy in critical areas for the EU. Europe is starting from the pole position with 6G research and is leading wireless network technologies today. Now is the time to leverage our joint research ambition with a flagship project that will lead the R&D effort towards end-to-end systemization and validation. The Hexa-X-II flagship is a unique effort and a holistic vision, of a 6G system of integrated technology enablers, which accomplish “beyond the sum of the parts”, and of a “network beyond communications” platform for disruptive economic / environmental / societal impact; these are vital for establishing the European 6G technology leadership!","To deliver on our European 6G vision for the 2030s, and to tackle opportunities and challenges of increasing magnitude, e.g., sustainability, trustworthiness, green deal efficiency, digital inclusion, there is need for a flagship project, towards the elaboration of a holistic 6G network platform and system. To fill this need, Hexa-X-II is proposed with the ambition of being this flagship project, and of inspiring the world for digital transformation through novel 6G services. Hexa-X-II will work, beyond enabler-oriented research, to optimized systemization, early validation, and proof-of-concept; work will progress from the 6G key enablers that connect the human, physical, and digital worlds, as explored in Hexa-X, to advanced technology readiness levels, including key aspects of modules / protocols / interfaces / data.Hexa-X II includes: (a) the provision of advanced / refined use cases, services, and requirements, ensuring value for society; (b) the delivery of the 6G platform blueprint, which will encompass enhanced connectivity for 6G services, mechanisms realizing the “networks beyond communications” vision (sensing, computing, trustworthy AI), efficient network management schemes; (c) the realization of extended validation at system and component level; (d) actions for global impact, while assuring strategic autonomy in critical areas for the EU. Europe is starting from the pole position with 6G research and is leading wireless network technologies today. Now is the time to leverage our joint research ambition with a flagship project that will lead the R&D effort towards end-to-end systemization and validation. The Hexa-X-II flagship is a unique effort and a holistic vision, of a 6G system of integrated technology enablers, which accomplish “beyond the sum of the parts”, and of a “network beyond communications” platform for disruptive economic / environmental / societal impact; these are vital for establishing the European 6G technology leadership!"
act544582,consortium for hall effect orbital propulsion system,cheops consortium for hall effect orbital propulsion system,GA-730135,730135,7,8,"CHEOPS proposes to develop three different Hall Effect Thruster electric propulsion systems:  a dual mode EPS for GEO applications, a low power for LEO applications and a >20 kW high thrust EPS for exploration applications. Each of these will be developed according to market needs and drivers applying incremental technology changes to existing EPS products. The development approach will follow the ESA ECSS approach and the dual mode and low power are targeting a System PDR review with 42 months from the project start. Development will cover the following elements: thruster, cathode, PPU and FMS. The project is perfectly aligned to the SRC guidelines published with the call. Through a detailed development plan the project will demonstrate their ability to achieve by the end of CHEOPS Phase II (2023) the following: a) TRL7-8 for dual mode and low power b) high power HET EPS TRL6. Common transverse activities will include advanced numerical design tools for electric propulsion which will further the understanding of the observable behaviour and interactions with the satellite platform and predict performances of a given design. This includes alternative propellants and the ability to estimate the system lifetime. Finally significant progress will be made in establishing a HET performances measurement standard and developing advanced non-intrusive tests for measuring thruster erosion. The CHEOPS consortium is led by SNECMA and is comprised of representatives of the biggest European Prime satellite makers, the full EPS supply chain and supported by academia.","CHEOPS proposes to develop three different Hall Effect Thruster electric propulsion systems:  a dual mode EPS for GEO applications, a low power for LEO applications and a >20 kW high thrust EPS for exploration applications. Each of these will be developed according to market needs and drivers applying incremental technology changes to existing EPS products. The development approach will follow the ESA ECSS approach and the dual mode and low power are targeting a System PDR review with 42 months from the project start. Development will cover the following elements: thruster, cathode, PPU and FMS. The project is perfectly aligned to the SRC guidelines published with the call. Through a detailed development plan the project will demonstrate their ability to achieve by the end of CHEOPS Phase II (2023) the following: a) TRL7-8 for dual mode and low power b) high power HET EPS TRL6. Common transverse activities will include advanced numerical design tools for electric propulsion which will further the understanding of the observable behaviour and interactions with the satellite platform and predict performances of a given design. This includes alternative propellants and the ability to estimate the system lifetime. Finally significant progress will be made in establishing a HET performances measurement standard and developing advanced non-intrusive tests for measuring thruster erosion. The CHEOPS consortium is led by SNECMA and is comprised of representatives of the biggest European Prime satellite makers, the full EPS supply chain and supported by academia."
act544665,5genabled growth in vertical industries,5growth 5genabled growth in vertical industries,856709,856709,5,6,"The vision of the 5Growth project is to empower verticals industries such as Industry 4.0, Transportation, and Energy with an AI-driven Automated and Sharable 5G End-to-End Solution that will allow these industries to achieve simultaneously their respective key performance targets. Towards this vision, 5Growth will automate the process for supporting diverse industry verticals through (i) a vertical portal in charge of interfacing verticals with the 5G End-to-End platforms, receiving their service requests and building the respective network slices on top, (ii) closed-loop automation and SLA control for vertical services lifecycle management and (iii) AI-driven end-to-end network solutions to jointly optimize Access, Transport, Core and Cloud, Edge and Fog resources, across multiple technologies and domains. The main objective of 5Growth is the technical and business validation of 5G technologies from the verticals’ points of view, following a field-trial-based approach on vertical sites (TRL 6-7). Multiple use cases of vertical industries (Comau, Efacec_S, Efacec_E, Innovalia) will be field-trialed on four vertical-owned sites in close collaboration with the vendors (Ericsson, Interdigital, NEC, Nokia) and the operators (Altice, Telecom Italia, Telefonica) in the project. 5Growth will leverage on the results of 5G-PPP Phase 2 projects where slicing, virtualization and multi-domain solutions for the creation and provisioning of vertical services are being developed and validated, e.g. 5G-TRANSFORMER and 5G-MONARCH. Two ICT-17-2018 5G End-to-End platforms, 5G EVE and 5G-VINNI, have been selected for the Trials to demonstrate the 5Growth specific vertical use cases. In addition to the impact on vertical-oriented standards (e.g., EN50126 (IEC62278) for railway signaling), the verticals in the consortium will be offered an opportunity to influence ongoing 5G standardization by leveraging the involvement of leading experts in the various relevant SDOs.","The vision of the 5Growth project is to empower verticals industries such as Industry 4.0, Transportation, and Energy with an AI-driven Automated and Sharable 5G End-to-End Solution that will allow these industries to achieve simultaneously their respective key performance targets. Towards this vision, 5Growth will automate the process for supporting diverse industry verticals through (i) a vertical portal in charge of interfacing verticals with the 5G End-to-End platforms, receiving their service requests and building the respective network slices on top, (ii) closed-loop automation and SLA control for vertical services lifecycle management and (iii) AI-driven end-to-end network solutions to jointly optimize Access, Transport, Core and Cloud, Edge and Fog resources, across multiple technologies and domains. The main objective of 5Growth is the technical and business validation of 5G technologies from the verticals’ points of view, following a field-trial-based approach on vertical sites (TRL 6-7). Multiple use cases of vertical industries (Comau, Efacec_S, Efacec_E, Innovalia) will be field-trialed on four vertical-owned sites in close collaboration with the vendors (Ericsson, Interdigital, NEC, Nokia) and the operators (Altice, Telecom Italia, Telefonica) in the project. 5Growth will leverage on the results of 5G-PPP Phase 2 projects where slicing, virtualization and multi-domain solutions for the creation and provisioning of vertical services are being developed and validated, e.g. 5G-TRANSFORMER and 5G-MONARCH. Two ICT-17-2018 5G End-to-End platforms, 5G EVE and 5G-VINNI, have been selected for the Trials to demonstrate the 5Growth specific vertical use cases. In addition to the impact on vertical-oriented standards (e.g., EN50126 (IEC62278) for railway signaling), the verticals in the consortium will be offered an opportunity to influence ongoing 5G standardization by leveraging the involvement of leading experts in the various relevant SDOs."
